Castaway,Job,URL,Book,Date first broadcast,Artist 1,Song 1,Artist 2,Song 2,Artist 3,Song 3,Artist 4,Song 4,Artist 5,Song 5,Artist 6,Song 6,Artist 7,Song 7,Artist 8,Song 8
David Beckham,,https://www.bbc.co.uk/programmes/b08bz0rz,On Fire by Francis Mallmann,2017-01-29,Ella Fitzgerald,Every Time We Say Goodbye,Michael McDonald & The Doobie Brothers,What a Fool Believes,The Stone Roses,I Am the Resurrection,Elton John,Something About The Way You Look Tonight,Alejandro Sanz,No Es Lo Mismo,The Rolling Stones,Wild Horses,Michael Jackson and Paul McCartney,The Girl is Mine,Sidney Bechet,Si tu vois ma mère
David Sedaris,writer,https://www.bbc.co.uk/programmes/m001j3ld,A German dictionary,2023-02-12,Tammy Wynette,I Don't Wanna Play House,Keith Hamshere and Original London Cast of Oliver!,Where is Love,Maria Bethânia,Dindi,Aretha Franklin,Until You Come Back To Me (That's What I'm Gonna Do),The Georgia Mass Choir,I Got A Right to Praise The Lord,Blossom Dearie,Manhattan,Abbey Lincoln,You and I,John Coltrane & Johnny Hartman,They Say It's Wonderful
Delia Smith,CH,https://www.bbc.co.uk/programmes/m001tq0c,Sister Wendy’s 100 Best-loved Paintings by Wendy Beckett,2023-12-24,Paul Simon,The Sound of Silence,The Beatles,Within You Without You,Erik Satie,Gnossienne No 1,Lucio Dalla,Caruso,David Fanshawe,Kyrie: Call To Prayer,Kate Bush,This Woman's Work,Sinéad O’Connor,She moved through the fair,Pharrell Williams,Happy
Derren Brown,illusionist,https://www.bbc.co.uk/programmes/m0005dyb,Collected works of Carl Jung,2019-05-26,Antonio Vivaldi,"Gloria in D major, RV 589",Johann Sebastian Bach,Goldberg Variations BWV.988 (Aria),Wolfgang Amadeus Mozart,"Concerto No 9 in E flat Major, KV 271",Johann Sebastian Bach,Erbarme dich,Johann Sebastian Bach,"Cello Suite No 1 in G major, BWV1007 - 1: Prelude",Strauss,Morgen! Op. 27 No. 4 (Tomorrow!),Rufus Wainwright,Dinner at Eight,Ben Folds,The Luckiest
Ed Sheeran,,https://www.bbc.co.uk/programmes/b08pddvs,His Dark Materials by Philip Pullman,2017-05-07,Derek and the Dominos,Layla,Van Morrison & The Chieftains,Carrickfergus,Eminem featuring Dido,Stan,Damien Rice,Volcano,Nizlopi,Flooded Quarry,Stevie Wonder,They Wont Go When I Go,Elton John,Indian Sunset,Foy Vance,Two Shades of Hope
Gary Barlow,singer-songwriter,https://www.bbc.co.uk/programmes/m0001h1p,Recording the Beatles by by Kevin Ryan and Brian Kehew,2018-12-09,Glen Campbell,Rhinestone Cowboy,Depeche Mode,Just Can't Get Enough,Procol Harum,A Whiter Shade Of Pale,Yes,Owner Of A Lonely Heart,Peter Gabriel & Kate Bush,Don't Give Up,Elton John,Your Song,Edward Elgar,"Variations On An Original Theme, Op.36 'Enigma': Variation IX: 'Nimrod'",Rick Astley,Never Gonna Give You Up
Gillian Reynolds,,https://www.bbc.co.uk/programmes/b0b4zdn9,"Hogarth, A Life and a World by Jenny Uglow",2018-06-03,"Earth, Wind & Fire",September,Queen’s Hall Light Orchestra & Charles Williams,Coronation Scot (Paul Temple),Miles Davis,Godchild,Ray Charles,What'd I Say Parts I And II,Dmitry Shostakovich,"Violin Concerto No. 1 in A Minor, Op. 77: IV. Burlesque: Allegro con brio",Anne Sofie von Otter & Sir John Eliot Gardiner & North German Radio Symphony Orchestra,Speak Low,Richard Burton,Under Milk Wood,Ludwig van Beethoven,"Beethoven's Piano Concerto No 1, 3rd movement"
Jeremy Bowen,journalist,https://www.bbc.co.uk/programmes/m001mly1,The Complete Novels of George Orwell,2023-06-04,Al Green,Let's Stay Together,Edward Elgar,"Symphony No. 2 in E-Flat Major, Op. 63: Larghetto",Sergey Rachmaninov,"Piano Concerto No. 2 in C minor, Op 18",Simon & Garfunkel,America,Giacomo Puccini,La bohème: O soave fanciulla,Johannes Brahms,"Denn alles Fleisch, es ist wie Gras",The Beatles,In My Life,The Kinks,Waterloo Sunset
Jimmy Carr,,https://www.bbc.co.uk/programmes/b08gwk5g,The Oxford Dictionary of Quotations,2017-03-05,Ye,Stronger,The Stone Roses,I Am the Resurrection,Paul Simon,The Obvious Child,Pixies,U-Mass,Death Cab for Cutie,I Will Follow You Into The Dark,The Killers,When You Were Young,Belle and Sebastian,The Boy With The Arab Strap,Beyoncé feat. Jay-Z,Crazy In Love
Jon Ronson,writer and broadcaster,https://www.bbc.co.uk/programmes/m00180zy,A Magnum photography book,2022-06-05,The Specials,A Message to You Rudy,Jane Horrocks,Cabaret,Tom Waits,Underground,The Breeders,Drivin' On 9,Randy Newman,Simon Smith And The Amazing Dancing Bear,Fiona Apple,Extraordinary Machine,Simon & Garfunkel,America,The E Street Band,Jersey Girl
Kate Moss,model,https://www.bbc.co.uk/programmes/m0019jv2,The Little Prince by Antoine de Saint-Exupéry,2022-07-24,Soul II Soul Sunday Service and Jazzie B mix,Back to Life,King Curtis,A Whiter Shade of Pale,Neil Young,Harvest Moon,David Bowie,Life On Mars?,The Velvet Underground,Oh! Sweet Nuthin',The Rolling Stones,Sympathy For The Devil,George Harrison,My Sweet Lord,Van Morrison,Madame George
